Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Squad
2022-08-07,15:00,Ligue 1,Matchweek 1,Sun,Away,L,2,3,Montpellier,2.0,1.7,46.0,12003.0,Florian Tardieu,5-4-1,4-2-3-1,Pierre Gaillouste,Match Report,,Troyes
2022-08-14,15:00,Ligue 1,Matchweek 2,Sun,Home,L,0,3,Toulouse,1.0,1.5,33.0,6000.0,Florian Tardieu,5-4-1,4-2-3-1,Marc Bollengier,Match Report,,Troyes
2022-08-19,21:00,Ligue 1,Matchweek 3,Fri,Away,L,1,4,Lyon,1.0,2.6,34.0,43000.0,Adil Rami,5-4-1,4-3-3,Eric Wattellier,Match Report,,Troyes
2022-08-28,15:00,Ligue 1,Matchweek 4,Sun,Home,W,3,1,Angers,1.9,0.7,49.0,6673.0,Adil Rami,5-4-1,3-1-4-2,Stéphanie Frappart,Match Report,,Troyes
2022-08-31,19:00,Ligue 1,Matchweek 5,Wed,Away,W,4,2,Monaco,2.2,1.2,48.0,4045.0,Florian Tardieu,5-4-1,3-4-1-2,Ruddy Buquet,Match Report,,Troyes
2022-09-04,17:05,Ligue 1,Matchweek 6,Sun,Home,D,1,1,Rennes,0.9,2.4,29.0,8000.0,Florian Tardieu,5-4-1,4-3-3,Mathieu Vernice,Match Report,,Troyes
2022-09-09,21:00,Ligue 1,Matchweek 7,Fri,Away,L,0,1,Lens,0.7,1.4,37.0,37344.0,Adil Rami,5-4-1,3-4-3,Hakim Ben El Hadj Salem,Match Report,,Troyes
2022-09-18,15:00,Ligue 1,Matchweek 8,Sun,Away,W,3,1,Clermont Foot,1.5,1.0,42.0,10753.0,Gauthier Gallon,5-4-1,3-4-3,Jérôme Brisard,Match Report,,Troyes
2022-10-02,15:00,Ligue 1,Matchweek 9,Sun,Home,D,2,2,Reims,1.6,1.0,68.0,10164.0,Florian Tardieu,5-3-2,3-4-1-2,Benoît Millot,Match Report,,Troyes
2022-10-09,15:00,Ligue 1,Matchweek 10,Sun,Away,L,2,3,Nice,1.5,2.6,39.0,18053.0,Adil Rami,5-4-1,3-4-3,Johan Hamel,Match Report,,Troyes
