Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Squad
2022-08-07,17:45,Coppa Italia,First round,Sun,Home,L,2,3,Ascoli,,,45.0,2018.0,Jesse Joronen,4-3-3,4-3-3,Daniele Paterna,Match Report,,Venezia
2022-08-14,20:45,Serie B,Matchweek 1,Sun,Home,L,1,2,Genoa,1.3,1.8,50.0,5263.0,Pietro Ceccaroni,4-3-3,4-4-2,Massimiliano Irrati,Match Report,,Venezia
2022-08-21,20:45,Serie B,Matchweek 2,Sun,Away,W,2,1,Südtirol,0.8,0.8,63.0,3508.0,Pietro Ceccaroni,4-3-3,4-3-3,Niccolò Baroni,Match Report,,Venezia
2022-08-28,20:45,Serie B,Matchweek 3,Sun,Away,D,1,1,Cittadella,0.7,1.5,56.0,2585.0,Pietro Ceccaroni,4-3-3,4-3-1-2,Antonio Giua,Match Report,,Venezia
2022-09-03,14:00,Serie B,Matchweek 4,Sat,Home,L,0,2,Benevento,0.8,1.1,56.0,2872.0,Pietro Ceccaroni,4-3-3,3-5-2,Federico Dionisi,Match Report,,Venezia
2022-09-11,16:15,Serie B,Matchweek 5,Sun,Away,L,0,2,SPAL,1.9,2.0,53.0,12348.0,Pietro Ceccaroni,4-3-3,4-3-1-2,Gianluca Manganiello,Match Report,,Venezia
2022-09-17,14:00,Serie B,Matchweek 6,Sat,Home,D,1,1,Pisa,1.6,0.4,63.0,2790.0,Marco Modolo,3-5-2,4-3-1-2,Daniele Perenzoni,Match Report,,Venezia
2022-10-01,14:00,Serie B,Matchweek 7,Sat,Away,W,4,1,Cagliari,1.9,0.8,37.0,12421.0,Marco Modolo,3-5-2,4-3-2-1,Francesco Cosso,Match Report,,Venezia
2022-10-08,14:00,Serie B,Matchweek 8,Sat,Home,L,1,2,Bari,0.9,1.9,62.0,6473.0,Marco Modolo,3-5-2,4-3-1-2,Antonio Giua,Match Report,,Venezia
2022-10-14,20:30,Serie B,Matchweek 9,Fri,Home,L,1,3,Frosinone,0.8,1.8,54.0,2526.0,Pietro Ceccaroni,3-4-1-2,4-2-3-1,Daniele Minelli,Match Report,,Venezia
2022-10-22,14:00,Serie B,Matchweek 10,Sat,Away,D,1,1,Brescia,1.4,0.7,57.0,4400.0,Luca Fiordilino,3-5-2,4-3-1-2,Luca Pairetto,Match Report,,Venezia
2022-10-29,14:00,Serie B,Matchweek 11,Sat,Home,L,0,2,Ascoli,0.2,0.9,56.0,3123.0,Luca Fiordilino,3-4-1-2,3-5-2,Marco Piccinini,Match Report,,Venezia
2022-11-06,16:15,Serie B,Matchweek 12,Sun,Away,L,0,1,Como,0.6,1.0,53.0,3942.0,Marco Modolo,3-4-1-2,4-3-1-2,Gianpiero Miele,Match Report,,Venezia
2022-11-12,14:00,Serie B,Matchweek 13,Sat,Home,L,1,2,US Reggina,0.8,1.9,42.0,4013.0,Marco Modolo,3-5-2,4-3-3,Matteo Marcenaro,Match Report,,Venezia
2022-11-27,18:00,Serie B,Matchweek 14,Sun,Away,W,1,0,Palermo,1.7,1.7,53.0,14961.0,Pietro Ceccaroni,3-5-2,3-5-2,Gianluca Manganiello,Match Report,,Venezia
2022-12-03,14:00,Serie B,Matchweek 15,Sat,Home,W,2,1,Ternana,1.7,2.2,45.0,2442.0,Pietro Ceccaroni,3-5-2,4-3-1-2,Giacomo Camplone,Match Report,,Venezia
2022-12-08,15:00,Serie B,Matchweek 16,Thu,Away,D,2,2,Modena,1.6,1.8,64.0,9614.0,Pietro Ceccaroni,3-5-2,4-3-1-2,Daniele Paterna,Match Report,,Venezia
2022-12-11,15:00,Serie B,Matchweek 17,Sun,Home,W,2,0,Cosenza,0.8,0.7,52.0,2566.0,Marco Modolo,3-5-2,4-3-2-1,Manuel Volpi,Match Report,,Venezia
2022-12-19,20:30,Serie B,Matchweek 18,Mon,Away,L,1,2,Perugia,0.7,0.5,69.0,4218.0,Pietro Ceccaroni,3-4-3,3-5-2,Antonio Rapuano,Match Report,,Venezia
2022-12-26,15:00,Serie B,Matchweek 19,Mon,Home,D,2,2,Parma,1.1,2.5,53.0,4671.0,Pietro Ceccaroni,3-5-2,4-5-1,Daniele Minelli,Match Report,,Venezia
